date,open,high,low,close,volume
2017-09-29T13:00:00,1.18295,1.18321,1.18213,1.18232,852
2017-09-29T13:15:00,1.18232,1.18235,1.18162,1.18233,553
2017-09-29T13:30:00,1.18235,1.18253,1.18174,1.18227,827
2017-09-29T13:45:00,1.18228,1.18232,1.17913,1.17956,2793
2017-09-29T14:00:00,1.17962,1.18073,1.17944,1.18006,1767
2017-09-29T14:15:00,1.18011,1.18061,1.17989,1.18028,1063
2017-09-29T14:30:00,1.18026,1.18170,1.17987,1.18157,1737
2017-09-29T15:00:00,1.18210,1.18230,1.18151,1.18154,1166
2017-09-29T15:15:00,1.18158,1.18208,1.18105,1.18190,702
2017-09-29T15:30:00,1.18188,1.18198,1.18092,1.18104,771
2017-09-29T15:45:00,1.18102,1.18166,1.18088,1.18125,599
2017-09-29T16:00:00,1.18126,1.18136,1.18048,1.18067,418
2017-09-29T16:15:00,1.18065,1.18083,1.18012,1.18018,371
2017-09-29T16:30:00,1.18017,1.18075,1.18013,1.18025,353
2017-09-29T16:45:00,1.18029,1.18042,1.17997,1.18030,508
2017-09-29T17:00:00,1.18026,1.18047,1.17998,1.18016,309
2017-09-29T17:15:00,1.18018,1.18052,1.18014,1.18044,202
2017-09-29T17:30:00,1.18044,1.18080,1.18024,1.18066,272
2017-09-29T17:45:00,1.18068,1.18110,1.18038,1.18041,350
2017-09-29T18:00:00,1.18038,1.18072,1.18031,1.18058,255
2017-09-29T18:15:00,1.18056,1.18146,1.18042,1.18140,520
2017-09-29T18:30:00,1.18138,1.18187,1.18088,1.18119,386
2017-09-29T18:45:00,1.18124,1.18242,1.18116,1.18123,750
2017-09-29T19:00:00,1.18124,1.18240,1.18120,1.18230,547
2017-09-29T19:15:00,1.18230,1.18259,1.18218,1.18230,424
2017-09-29T19:30:00,1.18235,1.18256,1.18214,1.18218,467
2017-09-29T19:45:00,1.18220,1.18234,1.18172,1.18194,412
2017-09-29T20:00:00,1.18198,1.18204,1.18159,1.18164,423
2017-09-29T20:15:00,1.18166,1.18228,1.18162,1.18222,410
2017-09-29T20:30:00,1.18224,1.18237,1.18147,1.18162,465
2017-09-29T20:45:00,1.18164,1.18180,1.18110,1.18150,1425
2017-10-01T21:00:00,1.17919,1.18085,1.17890,1.18058,324
2017-10-01T21:15:00,1.18054,1.18054,1.18012,1.18040,94
2017-10-01T21:30:00,1.18054,1.18090,1.18047,1.18066,171
2017-10-01T21:45:00,1.18068,1.18078,1.18004,1.18060,229
2017-10-01T22:00:00,1.18060,1.18092,1.18018,1.18058,645
2017-10-01T22:15:00,1.18060,1.18156,1.18058,1.18149,434
2017-10-01T22:30:00,1.18152,1.18152,1.18078,1.18108,247
2017-10-01T22:45:00,1.18113,1.18121,1.18093,1.18112,831
2017-10-01T23:00:00,1.18107,1.18116,1.18090,1.18104,223
2017-10-01T23:15:00,1.18110,1.18111,1.18066,1.18072,134
2017-10-01T23:30:00,1.18072,1.18100,1.18072,1.18085,153
2017-10-01T23:45:00,1.18083,1.18088,1.18060,1.18082,342
2017-10-02T00:00:00,1.18076,1.18080,1.17992,1.17992,494
2017-10-02T00:15:00,1.17990,1.18018,1.17974,1.17990,276
2017-10-02T00:30:00,1.17990,1.17999,1.17950,1.17969,334
2017-10-02T00:45:00,1.17966,1.17968,1.17880,1.17896,433
2017-10-02T01:00:00,1.17897,1.17911,1.17848,1.17852,383
2017-10-02T01:15:00,1.17858,1.17864,1.17800,1.17835,439
2017-10-02T01:30:00,1.17840,1.17843,1.17794,1.17809,269
2017-10-02T01:45:00,1.17814,1.17814,1.17704,1.17743,486
2017-10-02T02:00:00,1.17738,1.17754,1.17719,1.17749,282
2017-10-02T02:15:00,1.17746,1.17772,1.17724,1.17732,355
2017-10-02T02:30:00,1.17736,1.17792,1.17736,1.17791,181
2017-10-02T02:45:00,1.17791,1.17801,1.17752,1.17758,166
2017-10-02T03:00:00,1.17764,1.17778,1.17750,1.17758,115
2017-10-02T03:15:00,1.17757,1.17772,1.17734,1.17744,162
2017-10-02T03:30:00,1.17746,1.17770,1.17742,1.17758,117
2017-10-02T03:45:00,1.17761,1.17790,1.17755,1.17783,178
2017-10-02T04:00:00,1.17784,1.17804,1.17774,1.17786,124
2017-10-02T04:15:00,1.17783,1.17788,1.17752,1.17752,135
2017-10-02T04:30:00,1.17756,1.17760,1.17738,1.17750,167
2017-10-02T04:45:00,1.17751,1.17776,1.17736,1.17766,138
2017-10-02T05:00:00,1.17766,1.17768,1.17717,1.17738,202
2017-10-02T05:15:00,1.17732,1.17738,1.17626,1.17646,430
2017-10-02T05:30:00,1.17643,1.17658,1.17606,1.17638,363
2017-10-02T05:45:00,1.17640,1.17664,1.17620,1.17633,316
2017-10-02T06:00:00,1.17633,1.17685,1.17626,1.17680,488
2017-10-02T06:15:00,1.17675,1.17687,1.17632,1.17648,535
2017-10-02T06:30:00,1.17650,1.17655,1.17600,1.17608,543
2017-10-02T06:45:00,1.17610,1.17647,1.17544,1.17644,613
2017-10-02T07:00:00,1.17640,1.17659,1.17510,1.17520,893
2017-10-02T07:15:00,1.17524,1.17530,1.17438,1.17466,742
2017-10-02T07:30:00,1.17464,1.17468,1.17384,1.17398,1001
2017-10-02T07:45:00,1.17394,1.17442,1.17347,1.17422,790
2017-10-02T08:00:00,1.17422,1.17448,1.17376,1.17413,517
2017-10-02T08:15:00,1.17412,1.17428,1.17340,1.17409,719
2017-10-02T08:30:00,1.17412,1.17464,1.17398,1.17448,614
2017-10-02T08:45:00,1.17446,1.17525,1.17432,1.17461,719
2017-10-02T09:00:00,1.17462,1.17486,1.17402,1.17448,599
2017-10-02T09:15:00,1.17444,1.17464,1.17390,1.17393,437
2017-10-02T09:30:00,1.17392,1.17427,1.17368,1.17392,366
2017-10-02T09:45:00,1.17388,1.17389,1.17302,1.17316,495
2017-10-02T10:00:00,1.17311,1.17365,1.17300,1.17359,427
2017-10-02T10:15:00,1.17361,1.17362,1.17312,1.17312,339
2017-10-02T10:30:00,1.17316,1.17432,1.17312,1.17425,346
2017-10-02T10:45:00,1.17420,1.17463,1.17408,1.17456,304
2017-10-02T11:00:00,1.17452,1.17474,1.17408,1.17429,453
2017-10-02T11:15:00,1.17433,1.17513,1.17420,1.17460,632
2017-10-02T11:30:00,1.17462,1.17480,1.17440,1.17468,236
2017-10-02T11:45:00,1.17470,1.17470,1.17380,1.17384,472
2017-10-02T12:00:00,1.17386,1.17445,1.17374,1.17432,507
2017-10-02T12:15:00,1.17434,1.17594,1.17409,1.17558,1019
2017-10-02T12:30:00,1.17560,1.17604,1.17537,1.17548,520
2017-10-02T12:45:00,1.17546,1.17634,1.17542,1.17577,736
2017-10-02T13:00:00,1.17574,1.17599,1.17538,1.17552,598
2017-10-02T13:15:00,1.17548,1.17574,1.17518,1.17544,442
2017-10-02T13:30:00,1.17546,1.17612,1.17546,1.17586,637
2017-10-02T13:45:00,1.17588,1.17590,1.17464,1.17519,769
2017-10-02T14:00:00,1.17514,1.17514,1.17346,1.17449,2479
2017-10-02T14:15:00,1.17447,1.17557,1.17422,1.17544,1115
2017-10-02T14:30:00,1.17540,1.17584,1.17471,1.17484,601
2017-10-02T14:45:00,1.17480,1.17530,1.17350,1.17354,803
2017-10-02T15:00:00,1.17350,1.17383,1.17306,1.17376,869
2017-10-02T15:15:00,1.17372,1.17400,1.17354,1.17388,545
2017-10-02T15:30:00,1.17392,1.17420,1.17345,1.17412,574
2017-10-02T15:45:00,1.17415,1.17460,1.17392,1.17442,447
2017-10-02T16:00:00,1.17446,1.17486,1.17430,1.17453,341
2017-10-02T16:15:00,1.17454,1.17466,1.17410,1.17426,372
2017-10-02T16:30:00,1.17428,1.17441,1.17408,1.17441,191
2017-10-02T16:45:00,1.17440,1.17482,1.17430,1.17434,391
2017-10-02T17:00:00,1.17434,1.17443,1.17400,1.17421,285
2017-10-02T17:15:00,1.17424,1.17426,1.17356,1.17360,297
2017-10-02T17:30:00,1.17364,1.17394,1.17338,1.17370,235
2017-10-02T17:45:00,1.17370,1.17397,1.17363,1.17392,170
2017-10-02T18:00:00,1.17389,1.17437,1.17364,1.17426,331
2017-10-02T18:15:00,1.17427,1.17480,1.17407,1.17476,299
2017-10-02T18:30:00,1.17472,1.17485,1.17450,1.17458,221
2017-10-02T18:45:00,1.17458,1.17499,1.17424,1.17436,359
2017-10-02T19:00:00,1.17434,1.17458,1.17421,1.17434,232
2017-10-02T19:15:00,1.17438,1.17454,1.17386,1.17398,343
2017-10-02T19:30:00,1.17398,1.17418,1.17382,1.17393,228
2017-10-02T19:45:00,1.17392,1.17394,1.17333,1.17354,276
2017-10-02T20:00:00,1.17354,1.17366,1.17340,1.17354,157
2017-10-02T20:15:00,1.17358,1.17368,1.17350,1.17362,77
2017-10-02T20:30:00,1.17360,1.17360,1.17340,1.17350,82
2017-10-02T20:45:00,1.17350,1.17351,1.17316,1.17323,206
2017-10-02T21:00:00,1.17334,1.17372,1.17306,1.17360,645
2017-10-02T21:15:00,1.17353,1.17366,1.17318,1.17344,1314
2017-10-02T21:30:00,1.17336,1.17356,1.17312,1.17327,668
2017-10-02T21:45:00,1.17326,1.17356,1.17319,1.17337,1047
2017-10-02T22:00:00,1.17333,1.17354,1.17321,1.17335,870
2017-10-02T22:15:00,1.17338,1.17372,1.17330,1.17372,282
2017-10-02T22:30:00,1.17374,1.17392,1.17361,1.17382,376
2017-10-02T22:45:00,1.17382,1.17400,1.17382,1.17386,142
2017-10-02T23:00:00,1.17385,1.17402,1.17373,1.17385,190
2017-10-02T23:15:00,1.17384,1.17388,1.17364,1.17369,148
2017-10-02T23:30:00,1.17364,1.17383,1.17344,1.17349,123
2017-10-02T23:45:00,1.17348,1.17357,1.17317,1.17321,324
2017-10-03T00:00:00,1.17322,1.17338,1.17308,1.17322,346
2017-10-03T00:15:00,1.17316,1.17336,1.17306,1.17309,305
2017-10-03T00:30:00,1.17310,1.17344,1.17308,1.17320,268
2017-10-03T00:45:00,1.17314,1.17332,1.17192,1.17200,778
2017-10-03T01:00:00,1.17204,1.17204,1.17080,1.17129,1179
2017-10-03T01:15:00,1.17130,1.17138,1.17055,1.17062,525
2017-10-03T01:30:00,1.17057,1.17156,1.17057,1.17146,747
2017-10-03T01:45:00,1.17140,1.17148,1.17042,1.17062,810
2017-10-03T02:00:00,1.17063,1.17090,1.17016,1.17078,518
2017-10-03T02:15:00,1.17074,1.17096,1.17056,1.17096,350
2017-10-03T02:30:00,1.17092,1.17122,1.17081,1.17116,333
2017-10-03T02:45:00,1.17115,1.17134,1.17109,1.17121,242
2017-10-03T03:00:00,1.17120,1.17147,1.17116,1.17138,146
